state,year,month,cases,deaths,temperature_c,rainfall_mm,humidity_pct,population_millions,incidence_per_100k
Karnataka,2019,8,2103,3,24.9,51.0,62.0,67,3138.805970149254
Karnataka,2019,9,1787,2,28.4,189.0,98.5,67,2667.1641791044776
Karnataka,2019,10,2483,4,29.4,164.6,75.6,67,3705.9701492537315
Karnataka,2019,11,890,2,34.6,10.3,82.0,67,1328.3582089552237
Karnataka,2019,12,1305,1,33.8,23.6,48.4,67,1947.761194029851
Karnataka,2020,1,322,0,29.5,3.8,41.2,67,480.5970149253732
Karnataka,2020,2,319,0,35.8,21.0,71.8,67,476.11940298507466
Karnataka,2020,3,300,0,34.5,2.0,61.2,67,447.7611940298507
Karnataka,2020,4,294,0,24.8,15.0,31.7,67,438.8059701492537
Karnataka,2020,5,319,0,31.2,5.6,62.4,67,476.11940298507466
Karnataka,2020,6,1533,2,32.0,17.5,64.0,67,2288.0597014925374
Karnataka,2020,7,1715,3,27.1,158.6,68.9,67,2559.7014925373132
Karnataka,2020,8,3538,9,29.8,59.7,70.5,67,5280.5970149253735
Karnataka,2020,9,3349,5,30.4,124.2,74.9,67,4998.507462686567
Karnataka,2020,10,2690,3,27.6,248.6,88.6,67,4014.9253731343288
Karnataka,2020,11,1786,2,30.0,17.3,42.9,67,2665.6716417910447
Karnataka,2020,12,1007,2,36.6,29.4,42.8,67,1502.9850746268658
Karnataka,2021,1,247,0,31.1,8.2,62.9,67,368.65671641791045
Karnataka,2021,2,286,0,30.8,6.3,49.9,67,426.8656716417911
Karnataka,2021,3,293,0,28.7,8.8,48.4,67,437.31343283582095
Karnataka,2021,4,278,0,30.6,33.0,56.9,67,414.92537313432837
Karnataka,2021,5,301,0,32.1,8.1,50.4,67,449.25373134328356
Karnataka,2021,6,1688,1,30.3,9.9,77.9,67,2519.402985074627
Karnataka,2021,7,1347,2,28.6,172.9,84.8,67,2010.4477611940297
Karnataka,2021,8,2880,4,26.2,301.0,56.9,67,4298.507462686567
Karnataka,2021,9,1749,5,33.6,243.7,84.7,67,2610.4477611940297
Karnataka,2021,10,1555,4,33.5,176.4,72.2,67,2320.89552238806
Karnataka,2021,11,2512,4,37.4,18.5,48.3,67,3749.2537313432836
Karnataka,2021,12,1302,3,31.6,20.0,49.2,67,1943.2835820895523
Karnataka,2022,1,325,0,32.2,29.0,43.2,67,485.07462686567163
Karnataka,2022,2,170,0,26.5,11.1,58.0,67,253.7313432835821
Karnataka,2022,3,279,0,37.1,11.1,73.3,67,416.41791044776124
Karnataka,2022,4,250,0,32.7,8.2,67.3,67,373.13432835820896
Karnataka,2022,5,407,0,35.9,0.3,59.7,67,607.4626865671643
Karnataka,2022,6,1854,3,30.3,0.1,44.9,67,2767.1641791044776
Karnataka,2022,7,2824,5,22.7,281.9,73.6,67,4214.925373134329
Karnataka,2022,8,1619,3,28.2,294.3,78.3,67,2416.417910447761
Karnataka,2022,9,1825,2,27.8,182.7,79.0,67,2723.8805970149256
Karnataka,2022,10,2649,6,30.0,96.8,79.9,67,3953.731343283582
Karnataka,2022,11,1418,1,35.8,1.9,42.0,67,2116.417910447761
Karnataka,2022,12,2433,2,26.3,4.5,47.1,67,3631.34328358209
Karnataka,2023,1,298,0,32.1,16.1,39.5,67,444.77611940298505
Karnataka,2023,2,238,0,35.4,13.8,40.7,67,355.22388059701495
Karnataka,2023,3,421,0,29.7,6.6,27.3,67,628.3582089552239
Karnataka,2023,4,705,0,35.4,22.6,35.2,67,1052.2388059701493
Karnataka,2023,5,297,0,36.5,5.9,25.9,67,443.2835820895522
Karnataka,2023,6,1153,1,31.3,3.9,49.3,67,1720.8955223880598
Karnataka,2023,7,1862,2,24.8,205.0,84.1,67,2779.10447761194
Karnataka,2023,8,2051,3,32.4,517.6,85.1,67,3061.194029850746
Karnataka,2023,9,1840,2,27.4,352.1,61.9,67,2746.268656716418
Karnataka,2023,10,2344,3,29.7,142.9,68.7,67,3498.5074626865676
Karnataka,2023,11,1454,2,28.5,22.7,50.7,67,2170.149253731343
Karnataka,2023,12,1177,1,33.6,20.1,48.7,67,1756.7164179104477
Karnataka,2024,1,363,0,35.0,11.0,51.5,67,541.7910447761194
Karnataka,2024,2,230,0,35.7,2.1,38.6,67,343.2835820895522
Karnataka,2024,3,221,0,24.8,2.8,53.9,67,329.85074626865674
Karnataka,2024,4,238,0,27.4,6.6,54.0,67,355.22388059701495
Karnataka,2024,5,243,0,32.2,1.4,65.1,67,362.6865671641791
Karnataka,2024,6,690,1,36.4,9.1,61.6,67,1029.8507462686566
Karnataka,2024,7,1984,4,25.6,200.1,75.9,67,2961.194029850746
Karnataka,2024,8,2505,3,27.5,172.1,76.1,67,3738.805970149254
Karnataka,2024,9,3766,6,26.7,240.4,85.3,67,5620.895522388059
Karnataka,2024,10,1654,4,27.0,160.4,88.0,67,2468.6567164179105
Karnataka,2024,11,1810,3,30.6,7.0,54.9,67,2701.492537313433
Karnataka,2024,12,930,1,35.6,9.8,51.4,67,1388.0597014925372
Kerala,2015,1,395,1,36.6,15.8,59.5,35,1128.5714285714287
Kerala,2015,2,256,0,30.1,3.7,56.1,35,731.4285714285714
Kerala,2015,3,221,0,28.6,8.4,57.2,35,631.4285714285714
Kerala,2015,4,250,0,37.1,1.6,43.3,35,714.2857142857143
Kerala,2015,5,351,0,28.3,10.2,56.2,35,1002.8571428571429
Kerala,2015,6,586,1,27.8,23.9,42.3,35,1674.2857142857144
Kerala,2015,7,1377,3,32.5,201.2,100.0,35,3934.285714285714
Kerala,2015,8,3517,6,30.2,204.9,79.4,35,10048.571428571428
Kerala,2015,9,1486,4,32.0,201.5,76.0,35,4245.714285714285
Kerala,2015,10,1907,4,27.6,549.6,80.2,35,5448.571428571428
Kerala,2015,11,811,1,30.3,0.0,34.8,35,2317.142857142857
Kerala,2015,12,904,1,31.1,4.3,59.4,35,2582.857142857143
Kerala,2016,1,193,0,38.7,6.0,46.3,35,551.4285714285714
Kerala,2016,2,365,0,35.2,4.5,47.6,35,1042.857142857143
Kerala,2016,3,150,0,36.5,10.9,46.0,35,428.57142857142856
Kerala,2016,4,210,0,32.0,9.0,52.4,35,600.0
Kerala,2016,5,178,0,31.9,22.8,41.4,35,508.57142857142856
Kerala,2016,6,972,1,42.3,0.7,33.4,35,2777.1428571428573
Kerala,2016,7,1263,3,32.5,47.7,62.6,35,3608.571428571429
Kerala,2016,8,1504,1,26.9,169.4,80.3,35,4297.142857142857
Kerala,2016,9,2607,2,33.3,233.8,67.3,35,7448.571428571428
Kerala,2016,10,1455,1,24.6,193.0,73.7,35,4157.142857142857
Kerala,2016,11,1599,4,34.9,2.8,60.7,35,4568.571428571428
Kerala,2016,12,1254,1,38.6,2.3,34.9,35,3582.857142857143
Kerala,2017,1,151,0,30.8,0.9,54.9,35,431.4285714285714
Kerala,2017,2,137,0,27.0,4.8,37.8,35,391.4285714285714
Kerala,2017,3,365,0,34.4,5.3,20.0,35,1042.857142857143
Kerala,2017,4,197,0,35.9,16.1,49.5,35,562.8571428571429
Kerala,2017,5,274,0,31.8,7.8,29.8,35,782.8571428571428
Kerala,2017,6,1166,1,26.8,3.2,51.5,35,3331.4285714285716
Kerala,2017,7,1583,3,25.1,450.2,82.2,35,4522.857142857143
Kerala,2017,8,1266,2,30.9,103.0,80.1,35,3617.142857142857
Kerala,2017,9,1831,2,24.2,152.0,77.0,35,5231.428571428572
Kerala,2017,10,1654,3,23.8,344.1,66.2,35,4725.714285714286
Kerala,2017,11,1809,1,42.5,27.6,37.1,35,5168.571428571428
Kerala,2017,12,2371,3,34.4,0.5,27.2,35,6774.285714285715
Kerala,2018,1,391,0,31.6,14.7,49.5,35,1117.142857142857
Kerala,2018,2,278,0,25.8,17.1,44.0,35,794.2857142857143
Kerala,2018,3,213,0,35.9,8.9,39.1,35,608.5714285714286
Kerala,2018,4,257,0,26.7,7.8,46.6,35,734.2857142857142
Kerala,2018,5,263,0,34.4,10.8,62.5,35,751.4285714285714
Kerala,2018,6,1308,1,25.9,44.0,49.1,35,3737.1428571428573
Kerala,2018,7,1108,3,28.6,273.4,76.3,35,3165.714285714286
Kerala,2018,8,3047,3,31.2,314.1,74.2,35,8705.714285714286
Kerala,2018,9,2458,4,26.5,79.0,80.0,35,7022.857142857143
Kerala,2018,10,3550,5,26.6,159.5,76.3,35,10142.857142857143
Kerala,2018,11,2002,2,32.8,9.8,54.0,35,5720.0
Kerala,2018,12,984,1,34.9,16.0,50.7,35,2811.4285714285716
Kerala,2019,1,371,0,37.6,9.9,43.3,35,1060.0
Kerala,2019,2,160,0,28.5,1.2,61.9,35,457.1428571428571
Kerala,2019,3,257,0,28.3,2.7,49.5,35,734.2857142857142
Kerala,2019,4,322,0,27.7,29.9,60.2,35,919.9999999999999
Kerala,2019,5,269,0,31.1,6.3,33.2,35,768.5714285714286
Kerala,2019,6,991,1,36.7,7.2,74.3,35,2831.428571428571
Kerala,2019,7,2450,5,26.4,241.8,68.8,35,7000.0
Kerala,2019,8,2550,5,26.3,218.2,71.2,35,7285.714285714286
Kerala,2019,9,1996,5,23.5,114.1,76.6,35,5702.857142857143
Kerala,2019,10,2275,3,26.8,240.4,85.8,35,6500.0
Kerala,2019,11,2741,3,28.8,3.0,49.5,35,7831.428571428572
Kerala,2019,12,1194,2,34.8,0.8,34.1,35,3411.4285714285716
Kerala,2020,1,341,0,36.8,9.0,42.7,35,974.2857142857142
Kerala,2020,2,298,0,25.4,21.1,56.9,35,851.4285714285714
Kerala,2020,3,291,0,36.4,20.2,62.3,35,831.4285714285714
Kerala,2020,4,237,0,36.0,14.0,73.0,35,677.1428571428571
Kerala,2020,5,222,0,32.6,13.6,55.5,35,634.2857142857142
Kerala,2020,6,1323,2,31.1,3.4,50.1,35,3779.9999999999995
Kerala,2020,7,1519,3,28.1,265.3,61.5,35,4340.0
Kerala,2020,8,3000,3,28.7,239.8,75.5,35,8571.42857142857
Kerala,2020,9,3450,3,28.6,200.7,79.1,35,9857.142857142857
Kerala,2020,10,2114,5,24.9,58.9,84.7,35,6040.0
Kerala,2020,11,1634,3,33.5,0.2,73.5,35,4668.571428571428
Kerala,2020,12,809,1,25.2,58.5,43.9,35,2311.4285714285716
Kerala,2021,1,321,0,23.2,15.8,34.7,35,917.1428571428571
Kerala,2021,2,315,0,36.5,3.2,69.7,35,900.0
Kerala,2021,3,211,0,31.6,10.2,27.1,35,602.8571428571429
Kerala,2021,4,178,0,35.6,2.6,46.9,35,508.57142857142856
Kerala,2021,5,298,0,37.8,6.4,55.1,35,851.4285714285714
Kerala,2021,6,1378,3,33.8,9.8,59.1,35,3937.1428571428573
Kerala,2021,7,1414,1,30.1,101.3,74.5,35,4040.0
Kerala,2021,8,3345,5,33.4,121.2,74.9,35,9557.142857142857
Kerala,2021,9,2270,4,26.0,158.1,74.7,35,6485.714285714286
Kerala,2021,10,1945,2,20.7,299.8,64.1,35,5557.142857142857
Kerala,2021,11,1224,2,31.8,43.2,49.9,35,3497.142857142857
Kerala,2021,12,1383,1,34.1,0.1,76.7,35,3951.428571428571
Kerala,2022,1,248,0,23.8,4.3,35.0,35,708.5714285714286
Kerala,2022,2,410,0,36.0,2.2,59.3,35,1171.4285714285713
Kerala,2022,3,222,0,35.7,27.5,50.9,35,634.2857142857142
Kerala,2022,4,369,0,33.6,16.2,60.2,35,1054.2857142857142
Kerala,2022,5,286,0,29.9,22.5,69.8,35,817.1428571428571
Kerala,2022,6,1110,3,33.6,13.2,82.7,35,3171.4285714285716
Kerala,2022,7,1786,3,26.5,101.2,69.7,35,5102.857142857143
Kerala,2022,8,2730,3,34.4,107.7,82.5,35,7800.0
Kerala,2022,9,2499,6,28.4,139.3,77.1,35,7140.000000000001
Kerala,2022,10,1869,5,23.0,287.9,83.7,35,5340.0
Kerala,2022,11,2464,4,26.1,0.4,53.4,35,7040.000000000001
Kerala,2022,12,1281,1,31.6,20.7,76.7,35,3660.0
Kerala,2023,1,423,1,35.5,9.0,72.1,35,1208.5714285714284
Kerala,2023,2,237,0,33.6,24.0,39.7,35,677.1428571428571
Kerala,2023,3,398,0,29.3,2.0,49.6,35,1137.142857142857
Kerala,2023,4,395,0,31.4,7.2,65.9,35,1128.5714285714287
Kerala,2023,5,396,1,25.0,5.0,30.6,35,1131.4285714285716
Kerala,2023,6,1432,2,25.8,0.8,45.9,35,4091.428571428571
Kerala,2023,7,2928,3,24.2,159.6,87.3,35,8365.714285714286
Kerala,2023,8,3139,6,30.6,277.0,87.2,35,8968.571428571428
Kerala,2023,9,2740,5,29.3,155.8,78.8,35,7828.571428571429
Kerala,2023,10,2866,3,27.9,171.1,64.7,35,8188.571428571428
Kerala,2023,11,2071,3,24.0,1.6,63.7,35,5917.142857142857
Kerala,2023,12,1952,2,23.6,11.0,94.1,35,5577.142857142857
Kerala,2024,1,514,1,27.8,11.2,40.6,35,1468.5714285714284
Kerala,2024,2,303,0,34.2,18.2,36.2,35,865.7142857142857
Kerala,2024,3,397,0,33.5,9.6,53.0,35,1134.2857142857144
Kerala,2024,4,351,0,32.8,11.3,56.7,35,1002.8571428571429
Kerala,2024,5,231,0,27.4,10.5,54.5,35,660.0
Kerala,2024,6,2352,6,36.0,15.3,46.2,35,6720.0
Kerala,2024,7,2312,6,29.4,64.7,65.7,35,6605.714285714286
Kerala,2024,8,2753,4,30.1,336.6,72.4,35,7865.714285714286
Kerala,2024,9,2153,3,28.0,86.2,58.6,35,6151.428571428572
Kerala,2024,10,4746,10,21.5,85.3,69.0,35,13560.0
Kerala,2024,11,1753,3,36.0,6.2,64.7,35,5008.571428571429
Kerala,2024,12,955,2,30.2,4.2,49.7,35,2728.5714285714284
Tamil Nadu,2015,1,236,0,25.4,7.6,70.8,76,310.5263157894737
Tamil Nadu,2015,2,159,0,31.0,26.2,55.9,76,209.21052631578948
Tamil Nadu,2015,3,143,0,30.9,3.0,35.2,76,188.1578947368421
Tamil Nadu,2015,4,148,0,24.4,9.4,56.0,76,194.73684210526315
Tamil Nadu,2015,5,149,0,35.8,1.3,58.3,76,196.05263157894737
Tamil Nadu,2015,6,620,1,39.4,1.1,53.3,76,815.7894736842104
Tamil Nadu,2015,7,1384,4,29.3,352.3,74.2,76,1821.0526315789473
Tamil Nadu,2015,8,1620,3,26.7,324.8,78.8,76,2131.578947368421
Tamil Nadu,2015,9,1377,3,26.0,316.9,72.0,76,1811.842105263158
Tamil Nadu,2015,10,1634,3,25.9,271.5,69.4,76,2150.0
Tamil Nadu,2015,11,1463,3,33.1,6.0,32.2,76,1925.0
Tamil Nadu,2015,12,1013,2,30.6,1.0,56.8,76,1332.8947368421052
Tamil Nadu,2016,1,139,0,31.4,7.9,41.6,76,182.89473684210526
Tamil Nadu,2016,2,165,0,33.3,1.5,50.0,76,217.10526315789474
Tamil Nadu,2016,3,342,0,38.6,12.6,58.5,76,450.0
Tamil Nadu,2016,4,212,0,27.6,4.4,39.3,76,278.9473684210526
Tamil Nadu,2016,5,131,0,28.9,16.1,53.5,76,172.36842105263156
Tamil Nadu,2016,6,1517,4,33.9,3.9,81.8,76,1996.0526315789473
Tamil Nadu,2016,7,1133,2,24.4,258.2,94.5,76,1490.7894736842104
Tamil Nadu,2016,8,2031,5,27.8,103.9,81.3,76,2672.3684210526317
Tamil Nadu,2016,9,1513,4,25.3,340.1,62.9,76,1990.7894736842106
Tamil Nadu,2016,10,4211,4,27.1,190.4,82.8,76,5540.78947368421
Tamil Nadu,2016,11,1337,3,33.6,14.1,52.0,76,1759.2105263157894
Tamil Nadu,2016,12,605,1,27.7,4.5,36.7,76,796.0526315789474
Tamil Nadu,2017,1,464,1,34.0,5.9,55.8,76,610.5263157894738
Tamil Nadu,2017,2,225,0,33.0,19.1,50.0,76,296.0526315789474
Tamil Nadu,2017,3,242,0,31.6,21.0,54.0,76,318.42105263157896
Tamil Nadu,2017,4,258,0,30.0,5.2,46.5,76,339.4736842105263
Tamil Nadu,2017,5,253,0,28.4,37.1,66.3,76,332.89473684210526
Tamil Nadu,2017,6,1103,1,41.9,14.5,45.5,76,1451.3157894736842
Tamil Nadu,2017,7,1491,4,24.1,150.0,65.1,76,1961.842105263158
Tamil Nadu,2017,8,1659,3,29.6,59.2,68.5,76,2182.894736842105
Tamil Nadu,2017,9,2063,2,27.6,240.1,62.2,76,2714.4736842105262
Tamil Nadu,2017,10,1830,4,32.5,134.5,70.9,76,2407.894736842105
Tamil Nadu,2017,11,1468,3,30.8,0.6,52.4,76,1931.5789473684208
Tamil Nadu,2017,12,511,0,25.9,9.8,63.7,76,672.3684210526316
Tamil Nadu,2018,1,215,0,35.7,21.8,29.5,76,282.89473684210526
Tamil Nadu,2018,2,193,0,36.8,13.2,45.3,76,253.9473684210526
Tamil Nadu,2018,3,258,0,21.6,3.0,41.8,76,339.4736842105263
Tamil Nadu,2018,4,329,0,28.0,7.9,49.5,76,432.8947368421052
Tamil Nadu,2018,5,176,0,31.4,6.7,43.4,76,231.57894736842107
Tamil Nadu,2018,6,1788,4,22.8,5.0,43.3,76,2352.6315789473683
Tamil Nadu,2018,7,1879,2,27.4,315.9,63.8,76,2472.3684210526317
Tamil Nadu,2018,8,2873,6,26.5,175.0,84.2,76,3780.263157894737
Tamil Nadu,2018,9,2640,5,28.9,128.6,76.7,76,3473.684210526316
Tamil Nadu,2018,10,2061,2,26.0,162.3,75.9,76,2711.842105263158
Tamil Nadu,2018,11,1145,1,32.7,0.1,29.8,76,1506.578947368421
Tamil Nadu,2018,12,1641,2,34.7,2.0,67.4,76,2159.2105263157896
Tamil Nadu,2019,1,191,0,34.9,0.2,64.9,76,251.3157894736842
Tamil Nadu,2019,2,357,0,27.0,1.3,42.5,76,469.7368421052632
Tamil Nadu,2019,3,317,0,34.2,7.6,40.3,76,417.1052631578948
Tamil Nadu,2019,4,282,0,37.8,13.8,77.0,76,371.0526315789474
Tamil Nadu,2019,5,133,0,36.3,4.1,34.3,76,175.0
Tamil Nadu,2019,6,1122,3,34.3,2.8,52.2,76,1476.3157894736842
Tamil Nadu,2019,7,1521,3,27.2,82.6,84.1,76,2001.3157894736842
Tamil Nadu,2019,8,2928,3,28.8,325.8,73.6,76,3852.6315789473683
Tamil Nadu,2019,9,2705,7,31.5,216.4,75.3,76,3559.2105263157896
Tamil Nadu,2019,10,2632,5,26.0,186.3,60.1,76,3463.1578947368416
Tamil Nadu,2019,11,943,2,38.8,7.1,58.5,76,1240.7894736842104
Tamil Nadu,2019,12,1151,1,33.3,14.3,63.5,76,1514.4736842105265
Tamil Nadu,2020,1,193,0,27.1,2.8,46.9,76,253.9473684210526
Tamil Nadu,2020,2,174,0,33.0,13.2,29.0,76,228.9473684210526
Tamil Nadu,2020,3,251,0,33.8,15.3,48.0,76,330.2631578947369
Tamil Nadu,2020,4,310,0,26.2,1.6,33.4,76,407.8947368421052
Tamil Nadu,2020,5,221,0,30.5,4.6,75.9,76,290.7894736842105
Tamil Nadu,2020,6,790,2,25.2,5.3,71.9,76,1039.4736842105265
Tamil Nadu,2020,7,1407,3,31.8,201.2,66.6,76,1851.3157894736842
Tamil Nadu,2020,8,3399,5,28.6,425.5,93.9,76,4472.368421052632
Tamil Nadu,2020,9,2375,6,29.8,182.7,88.1,76,3125.0
Tamil Nadu,2020,10,1774,2,26.6,289.9,81.8,76,2334.2105263157896
Tamil Nadu,2020,11,1606,3,31.2,5.7,48.8,76,2113.157894736842
Tamil Nadu,2020,12,1803,2,32.8,5.5,58.7,76,2372.3684210526317
Tamil Nadu,2021,1,360,0,34.3,5.3,44.4,76,473.6842105263157
Tamil Nadu,2021,2,271,0,27.0,4.5,55.2,76,356.57894736842104
Tamil Nadu,2021,3,161,0,24.9,28.2,43.0,76,211.84210526315786
Tamil Nadu,2021,4,183,0,30.5,16.2,56.0,76,240.78947368421052
Tamil Nadu,2021,5,442,0,20.5,0.8,49.6,76,581.578947368421
Tamil Nadu,2021,6,963,2,35.6,1.7,61.7,76,1267.1052631578948
Tamil Nadu,2021,7,1682,2,28.9,219.3,76.2,76,2213.157894736842
Tamil Nadu,2021,8,3419,6,27.4,219.5,72.8,76,4498.684210526316
Tamil Nadu,2021,9,1256,2,25.6,137.4,74.9,76,1652.6315789473686
Tamil Nadu,2021,10,1627,4,30.7,208.0,75.9,76,2140.7894736842104
Tamil Nadu,2021,11,1189,1,29.9,39.8,61.9,76,1564.4736842105265
Tamil Nadu,2021,12,800,0,26.7,35.8,86.2,76,1052.6315789473686
Tamil Nadu,2022,1,211,0,36.7,1.6,39.0,76,277.6315789473684
Tamil Nadu,2022,2,307,0,36.1,1.2,89.9,76,403.94736842105266
Tamil Nadu,2022,3,277,0,34.8,12.3,37.6,76,364.4736842105263
Tamil Nadu,2022,4,307,0,26.9,29.1,49.1,76,403.94736842105266
Tamil Nadu,2022,5,500,0,35.6,5.3,59.3,76,657.8947368421052
Tamil Nadu,2022,6,1112,1,37.6,6.1,50.9,76,1463.157894736842
Tamil Nadu,2022,7,1983,5,25.6,318.6,67.3,76,2609.2105263157896
Tamil Nadu,2022,8,3519,7,27.2,150.9,80.1,76,4630.263157894737
Tamil Nadu,2022,9,2375,6,27.8,105.0,74.9,76,3125.0
Tamil Nadu,2022,10,4736,12,31.4,58.0,77.0,76,6231.578947368421
Tamil Nadu,2022,11,2324,3,36.3,5.0,51.0,76,3057.894736842105
Tamil Nadu,2022,12,1221,1,35.9,3.8,59.8,76,1606.5789473684208
Tamil Nadu,2023,1,317,0,30.4,22.4,35.7,76,417.1052631578948
Tamil Nadu,2023,2,282,0,29.1,21.4,53.1,76,371.0526315789474
Tamil Nadu,2023,3,318,0,37.6,5.4,34.1,76,418.42105263157896
Tamil Nadu,2023,4,399,0,27.2,0.1,46.2,76,525.0
Tamil Nadu,2023,5,251,0,42.4,22.1,52.9,76,330.2631578947369
Tamil Nadu,2023,6,1035,2,33.1,7.8,54.6,76,1361.842105263158
Tamil Nadu,2023,7,2754,4,31.4,167.9,88.1,76,3623.684210526316
Tamil Nadu,2023,8,2606,3,27.9,240.7,66.6,76,3428.947368421053
Tamil Nadu,2023,9,4034,6,26.9,126.9,54.7,76,5307.894736842106
Tamil Nadu,2023,10,2135,5,32.6,173.6,87.3,76,2809.2105263157896
Tamil Nadu,2023,11,1982,2,33.3,3.9,43.0,76,2607.894736842105
Tamil Nadu,2023,12,1818,4,30.4,18.1,57.9,76,2392.105263157895
Tamil Nadu,2024,1,236,0,26.6,7.2,35.0,76,310.5263157894737
Tamil Nadu,2024,2,322,0,36.1,27.9,30.2,76,423.6842105263157
Tamil Nadu,2024,3,269,0,34.0,10.9,56.1,76,353.9473684210526
Tamil Nadu,2024,4,404,0,28.1,5.9,52.3,76,531.578947368421
Tamil Nadu,2024,5,282,0,31.5,4.8,42.0,76,371.0526315789474
Tamil Nadu,2024,6,1691,4,31.1,19.5,56.3,76,2225.0
Tamil Nadu,2024,7,2158,2,27.2,282.3,69.7,76,2839.4736842105262
Tamil Nadu,2024,8,2114,5,33.5,55.6,72.0,76,2781.578947368421
Tamil Nadu,2024,9,2810,7,24.8,227.5,84.0,76,3697.3684210526317
Tamil Nadu,2024,10,2961,3,27.5,191.4,70.3,76,3896.052631578947
Tamil Nadu,2024,11,2076,2,36.6,17.8,36.1,76,2731.578947368421
Tamil Nadu,2024,12,1534,3,33.1,17.7,59.6,76,2018.4210526315792
Maharashtra,2015,1,86,0,36.0,5.6,40.2,123,69.91869918699187
Maharashtra,2015,2,243,0,35.5,5.9,53.5,123,197.5609756097561
Maharashtra,2015,3,92,0,37.3,12.1,51.1,123,74.79674796747967
