year,month,cases,temperature_c,rainfall_mm,humidity_pct,population_millions,incidence_per_100k
1998,11,52,18.8,0.3,53.9,1400,3.7142857142857144
1998,12,24,19.8,2.5,43.0,1400,1.7142857142857144
1999,1,16,22.9,14.1,53.9,1400,1.1428571428571428
1999,2,18,24.5,0.3,62.6,1400,1.2857142857142856
1999,3,27,28.1,3.5,61.4,1400,1.9285714285714284
1999,4,32,32.0,24.0,56.6,1400,2.2857142857142856
1999,5,46,32.1,3.0,47.4,1400,3.2857142857142856
1999,6,73,34.9,7.1,37.1,1400,5.214285714285714
1999,7,145,29.8,232.5,89.8,1400,10.357142857142858
1999,8,242,30.0,188.9,90.7,1400,17.285714285714285
1999,9,165,25.2,348.3,93.3,1400,11.785714285714285
1999,10,142,28.3,196.4,76.1,1400,10.142857142857142
1999,11,68,20.1,0.3,55.5,1400,4.857142857142857
1999,12,33,23.1,0.1,54.5,1400,2.357142857142857
2000,1,11,25.0,0.3,56.0,1400,0.7857142857142858
2000,2,14,15.3,7.9,60.4,1400,1.0
2000,3,17,29.6,2.9,45.6,1400,1.2142857142857142
2000,4,15,37.4,6.4,48.2,1400,1.0714285714285714
2000,5,29,35.1,9.2,40.4,1400,2.071428571428571
2000,6,47,37.3,56.3,54.3,1400,3.357142857142857
2000,7,53,26.4,301.4,76.4,1400,3.785714285714286
2000,8,120,28.2,290.1,90.6,1400,8.571428571428571
2000,9,136,27.2,184.5,74.5,1400,9.714285714285714
2000,10,105,30.1,66.9,80.9,1400,7.5
2000,11,62,20.4,1.9,36.3,1400,4.428571428571428
2000,12,24,22.1,0.5,71.8,1400,1.7142857142857144
2001,1,74,13.2,17.9,40.2,1400,5.285714285714286
2001,2,78,23.4,4.1,50.8,1400,5.571428571428571
2001,3,101,35.7,14.8,34.8,1400,7.214285714285714
2001,4,124,36.2,16.6,54.9,1400,8.857142857142856
2001,5,158,32.1,15.0,49.5,1400,11.285714285714285
2001,6,305,37.9,67.9,57.1,1400,21.785714285714285
2001,7,353,25.5,89.1,90.0,1400,25.214285714285715
2001,8,611,33.3,212.1,78.4,1400,43.642857142857146
2001,9,672,29.5,289.2,79.8,1400,48.0
2001,10,514,25.7,116.4,93.1,1400,36.714285714285715
2001,11,227,21.5,50.5,55.6,1400,16.214285714285715
2001,12,155,15.2,0.0,70.3,1400,11.071428571428571
2002,1,33,15.4,2.9,42.1,1400,2.357142857142857
2002,2,31,20.7,0.5,71.7,1400,2.214285714285714
2002,3,55,34.2,22.2,67.2,1400,3.9285714285714284
2002,4,68,34.2,6.7,45.0,1400,4.857142857142857
2002,5,98,33.0,26.7,47.4,1400,7.000000000000001
2002,6,150,33.3,13.4,75.8,1400,10.714285714285714
2002,7,195,30.8,47.8,88.0,1400,13.928571428571429
2002,8,254,27.3,195.5,76.8,1400,18.142857142857142
2002,9,416,29.7,117.4,85.5,1400,29.714285714285715
2002,10,349,29.4,131.4,78.8,1400,24.928571428571427
2002,11,151,24.0,0.6,44.5,1400,10.785714285714286
2002,12,87,18.2,12.6,71.5,1400,6.214285714285714
2003,1,219,19.4,0.1,45.6,1400,15.642857142857142
2003,2,198,29.1,16.1,42.6,1400,14.142857142857142
2003,3,338,38.9,2.3,29.6,1400,24.142857142857142
2003,4,497,28.8,82.5,56.7,1400,35.5
2003,5,634,34.0,66.2,48.7,1400,45.285714285714285
2003,6,789,31.0,43.4,29.5,1400,56.35714285714286
2003,7,1553,24.7,298.2,86.2,1400,110.92857142857142
2003,8,2464,28.5,356.4,70.0,1400,176.0
2003,9,2753,27.7,331.7,73.0,1400,196.64285714285714
2003,10,1920,29.0,163.4,66.5,1400,137.14285714285714
2003,11,1113,15.9,1.3,47.0,1400,79.5
2003,12,556,15.0,2.3,56.0,1400,39.714285714285715
2004,1,85,24.4,0.0,39.8,1400,6.071428571428571
2004,2,64,25.9,7.9,56.8,1400,4.571428571428571
2004,3,118,40.9,22.3,53.5,1400,8.428571428571429
2004,4,114,36.9,51.3,23.8,1400,8.142857142857144
2004,5,246,31.0,18.8,49.6,1400,17.57142857142857
2004,6,364,36.7,55.3,39.6,1400,26.0
2004,7,547,24.9,227.1,81.4,1400,39.07142857142858
2004,8,771,28.5,120.8,81.6,1400,55.07142857142857
2004,9,804,30.3,224.8,85.5,1400,57.42857142857143
2004,10,576,28.2,186.9,69.7,1400,41.14285714285714
2004,11,402,21.0,1.0,56.3,1400,28.714285714285715
2004,12,150,26.2,4.2,41.5,1400,10.714285714285714
2005,1,261,24.9,9.1,55.5,1400,18.642857142857142
2005,2,287,19.3,1.6,64.2,1400,20.5
2005,3,376,30.0,2.2,40.0,1400,26.857142857142858
2005,4,344,31.0,8.6,21.8,1400,24.571428571428573
2005,5,499,31.8,41.4,56.8,1400,35.642857142857146
2005,6,928,34.9,41.2,59.0,1400,66.28571428571428
2005,7,1834,24.9,241.4,73.0,1400,131.0
2005,8,1984,26.7,386.8,75.0,1400,141.7142857142857
2005,9,2010,29.6,365.9,73.6,1400,143.57142857142858
2005,10,1976,28.4,104.9,71.3,1400,141.14285714285714
2005,11,982,20.5,0.2,60.8,1400,70.14285714285714
2005,12,520,26.3,1.7,63.8,1400,37.142857142857146
2006,1,213,18.6,0.5,54.9,1400,15.214285714285714
2006,2,146,18.5,3.6,68.2,1400,10.428571428571429
2006,3,311,30.1,34.8,52.1,1400,22.214285714285715
2006,4,436,37.5,36.1,57.1,1400,31.142857142857146
2006,5,774,33.1,35.3,43.0,1400,55.285714285714285
2006,6,1007,38.6,9.8,50.0,1400,71.92857142857143
2006,7,1569,27.5,233.7,79.5,1400,112.07142857142858
2006,8,2232,25.3,323.6,90.0,1400,159.42857142857144
2006,9,2543,28.5,192.6,77.2,1400,181.64285714285714
2006,10,1926,29.2,254.1,79.4,1400,137.57142857142856
2006,11,1047,21.3,5.9,51.0,1400,74.78571428571429
2006,12,375,25.9,13.9,58.7,1400,26.785714285714285
2007,1,102,21.5,7.9,34.6,1400,7.285714285714286
2007,2,85,20.4,8.9,66.2,1400,6.071428571428571
2007,3,201,34.3,6.3,67.2,1400,14.357142857142858
2007,4,141,30.4,11.4,55.8,1400,10.071428571428571
2007,5,268,32.9,11.7,30.0,1400,19.142857142857142
2007,6,549,34.8,56.7,48.2,1400,39.214285714285715
2007,7,641,29.4,320.4,83.1,1400,45.785714285714285
2007,8,1215,28.4,318.6,69.8,1400,86.78571428571429
2007,9,1097,28.7,160.7,77.7,1400,78.35714285714286
2007,10,669,28.3,167.2,72.9,1400,47.785714285714285
2007,11,513,20.9,0.1,54.7,1400,36.642857142857146
2007,12,320,20.0,0.9,58.7,1400,22.857142857142858
2008,1,269,21.9,0.1,49.3,1400,19.214285714285715
2008,2,359,21.9,5.8,46.2,1400,25.642857142857146
2008,3,378,34.2,21.5,33.0,1400,27.0
2008,4,360,40.4,40.1,39.1,1400,25.71428571428571
2008,5,586,35.8,10.0,45.7,1400,41.85714285714286
2008,6,910,37.1,32.9,38.0,1400,65.0
2008,7,1771,28.2,351.7,94.6,1400,126.49999999999999
2008,8,2035,31.5,255.4,69.7,1400,145.35714285714286
2008,9,2316,29.2,377.8,91.8,1400,165.42857142857144
2008,10,2008,28.1,246.5,74.0,1400,143.42857142857144
2008,11,1035,26.4,6.4,53.9,1400,73.92857142857143
2008,12,379,18.4,1.4,39.4,1400,27.071428571428573
2009,1,419,21.6,14.1,72.8,1400,29.928571428571427
2009,2,243,19.7,3.6,60.3,1400,17.357142857142858
2009,3,386,39.1,44.5,50.9,1400,27.57142857142857
2009,4,484,33.3,11.6,48.9,1400,34.57142857142857
2009,5,743,30.0,22.3,54.3,1400,53.07142857142857
2009,6,810,38.4,2.3,49.5,1400,57.85714285714286
2009,7,1840,29.6,123.0,74.3,1400,131.42857142857142
2009,8,2945,27.9,288.7,61.2,1400,210.35714285714286
2009,9,3227,27.5,393.6,90.0,1400,230.50000000000003
2009,10,2647,27.3,197.6,84.8,1400,189.07142857142858
2009,11,1492,26.9,9.5,54.1,1400,106.57142857142856
2009,12,593,23.5,0.1,55.5,1400,42.35714285714286
2010,1,510,21.5,22.8,44.7,1400,36.42857142857142
2010,2,518,22.0,0.2,56.4,1400,37.0
2010,3,908,34.6,55.5,70.1,1400,64.85714285714286
2010,4,831,38.3,7.3,48.3,1400,59.357142857142854
2010,5,1283,38.2,20.0,55.4,1400,91.64285714285715
2010,6,2438,35.5,32.1,56.6,1400,174.14285714285714
2010,7,3555,27.1,240.7,86.8,1400,253.92857142857142
2010,8,6085,29.3,130.4,71.8,1400,434.64285714285717
2010,9,5915,30.0,207.1,90.9,1400,422.49999999999994
2010,10,4542,27.5,353.7,86.4,1400,324.42857142857144
2010,11,2465,24.9,1.9,61.4,1400,176.07142857142856
2010,12,1152,17.9,0.0,42.2,1400,82.28571428571428
2011,1,294,18.5,2.0,70.5,1400,21.0
2011,2,310,19.6,0.1,65.9,1400,22.142857142857142
2011,3,712,28.3,11.5,20.0,1400,50.857142857142854
2011,4,797,30.8,2.8,72.9,1400,56.92857142857143
2011,5,1051,37.0,38.1,54.1,1400,75.07142857142857
2011,6,1573,35.3,22.0,42.7,1400,112.35714285714286
2011,7,2458,27.9,145.0,70.1,1400,175.57142857142858
2011,8,2876,28.4,418.3,90.1,1400,205.42857142857142
2011,9,4235,26.8,100.5,82.4,1400,302.5
2011,10,2446,28.2,116.9,79.3,1400,174.71428571428572
2011,11,1310,27.6,4.3,54.2,1400,93.57142857142857
2011,12,904,23.5,15.2,60.0,1400,64.57142857142857
2012,1,610,26.6,17.0,52.0,1400,43.57142857142857
2012,2,829,19.2,0.8,73.2,1400,59.21428571428572
2012,3,982,35.7,10.2,30.7,1400,70.14285714285714
2012,4,1165,36.9,33.5,59.7,1400,83.21428571428572
2012,5,2364,30.4,29.6,43.9,1400,168.85714285714286
2012,6,4366,32.6,79.7,56.7,1400,311.8571428571429
2012,7,5249,28.6,180.3,75.0,1400,374.9285714285714
2012,8,6471,26.8,140.0,73.3,1400,462.2142857142857
2012,9,7197,26.5,237.0,79.9,1400,514.0714285714286
2012,10,4403,28.7,335.4,68.6,1400,314.5
2012,11,2464,24.8,6.5,74.5,1400,176.0
2012,12,1504,19.3,5.5,45.9,1400,107.42857142857143
2013,1,1116,28.3,1.2,51.9,1400,79.71428571428572
2013,2,1018,16.4,0.2,55.7,1400,72.71428571428571
2013,3,1859,35.2,61.1,47.3,1400,132.78571428571428
2013,4,1579,35.4,20.2,32.2,1400,112.78571428571429
2013,5,2413,32.9,18.5,23.0,1400,172.35714285714286
2013,6,4761,31.7,0.9,55.0,1400,340.07142857142856
2013,7,6649,28.5,233.2,78.7,1400,474.92857142857144
2013,8,9781,29.8,203.4,82.5,1400,698.6428571428571
2013,9,12068,27.0,208.7,82.3,1400,861.9999999999999
2013,10,7229,28.1,232.3,76.2,1400,516.3571428571428
2013,11,4544,31.9,7.7,52.0,1400,324.57142857142856
2013,12,1510,22.3,0.2,60.1,1400,107.85714285714285
2014,1,583,14.8,2.6,48.5,1400,41.642857142857146
2014,2,603,18.8,0.5,45.3,1400,43.07142857142857
2014,3,924,32.9,22.0,46.8,1400,66.0
2014,4,825,33.2,17.4,45.2,1400,58.92857142857143
2014,5,1296,30.4,49.1,20.0,1400,92.57142857142857
2014,6,2662,30.9,18.8,59.5,1400,190.14285714285714
2014,7,3310,29.8,325.7,73.4,1400,236.42857142857144
2014,8,3530,26.9,278.3,70.0,1400,252.14285714285714
2014,9,5759,24.1,534.2,77.8,1400,411.35714285714283
2014,10,3773,27.1,150.2,59.6,1400,269.5
2014,11,2165,18.5,8.5,32.2,1400,154.64285714285714
2014,12,1373,17.5,1.9,54.1,1400,98.07142857142857
2015,1,2294,27.6,16.4,67.1,1400,163.85714285714286
2015,2,1815,22.7,6.8,52.7,1400,129.64285714285714
2015,3,3038,35.7,14.8,28.8,1400,217.0
2015,4,2590,38.6,11.8,39.6,1400,185.0
2015,5,4679,35.8,11.1,57.0,1400,334.2142857142857
2015,6,7135,30.7,73.1,48.4,1400,509.64285714285717
2015,7,10435,29.3,392.2,72.9,1400,745.3571428571428
2015,8,20669,28.1,263.6,84.0,1400,1476.357142857143
2015,9,21842,26.3,274.3,69.6,1400,1560.1428571428573
2015,10,11158,32.1,133.3,74.1,1400,797.0
2015,11,7605,22.8,4.5,53.4,1400,543.2142857142857
2015,12,4183,23.1,11.9,63.4,1400,298.7857142857143
2016,1,2286,26.9,6.5,53.6,1400,163.28571428571428
2016,2,2210,24.0,3.0,54.1,1400,157.85714285714286
2016,3,3825,37.4,38.2,59.9,1400,273.2142857142857
2016,4,3887,35.9,82.8,22.2,1400,277.6428571428571
2016,5,6534,40.4,39.6,60.5,1400,466.7142857142857
2016,6,11431,34.6,5.6,54.9,1400,816.4999999999999
2016,7,13488,30.6,190.6,91.4,1400,963.4285714285713
2016,8,24667,25.6,284.7,80.2,1400,1761.9285714285713
2016,9,32132,25.1,133.1,83.8,1400,2295.1428571428573
2016,10,18321,31.5,192.8,64.4,1400,1308.642857142857
2016,11,12857,28.7,0.0,47.5,1400,918.3571428571428
2016,12,6154,19.7,0.1,77.1,1400,439.5714285714286
2017,1,3604,22.5,3.2,48.1,1400,257.42857142857144
2017,2,4812,25.8,9.4,54.9,1400,343.7142857142857
2017,3,6881,38.3,11.9,46.1,1400,491.5
2017,4,7054,31.6,19.4,34.9,1400,503.85714285714283
2017,5,9230,36.4,4.5,32.7,1400,659.2857142857142
2017,6,19904,38.7,38.3,58.8,1400,1421.7142857142858
2017,7,21599,30.4,80.4,74.1,1400,1542.7857142857142
2017,8,28669,28.3,89.7,86.3,1400,2047.7857142857142
2017,9,36594,27.3,279.5,68.6,1400,2613.8571428571427
2017,10,18368,27.9,481.9,85.2,1400,1312.0
2017,11,16938,23.4,0.2,44.0,1400,1209.857142857143
2017,12,7946,22.5,0.0,45.2,1400,567.5714285714287
2018,1,1770,23.4,0.6,52.8,1400,126.42857142857142
2018,2,1933,28.3,8.2,49.7,1400,138.07142857142858
2018,3,3029,35.3,6.4,53.8,1400,216.35714285714286
2018,4,2910,35.2,36.3,43.7,1400,207.85714285714286
2018,5,4621,37.7,8.6,54.5,1400,330.07142857142856
2018,6,6706,35.9,4.6,46.0,1400,479.0
2018,7,12793,26.4,200.9,72.1,1400,913.7857142857143
2018,8,16130,28.4,380.7,75.6,1400,1152.1428571428573
2018,9,20706,28.8,488.8,69.4,1400,1479.0
2018,10,9793,28.9,345.2,92.2,1400,699.5
2018,11,6931,19.2,2.6,55.7,1400,495.07142857142856
2018,12,3673,21.8,8.6,47.9,1400,262.3571428571429
2019,1,2914,26.6,14.5,47.3,1400,208.14285714285714
2019,2,2980,24.0,2.0,54.4,1400,212.85714285714286
2019,3,4226,35.3,48.0,48.6,1400,301.8571428571429
2019,4,4216,33.7,58.0,23.0,1400,301.14285714285717
2019,5,8106,36.1,67.1,39.6,1400,579.0
2019,6,15251,35.2,47.0,56.8,1400,1089.357142857143
2019,7,20830,29.7,190.1,75.3,1400,1487.857142857143
2019,8,26653,26.1,282.1,72.1,1400,1903.7857142857142
2019,9,32439,28.4,260.4,77.4,1400,2317.0714285714284
2019,10,25254,25.9,282.7,68.5,1400,1803.8571428571431
2019,11,12112,22.1,2.8,52.3,1400,865.1428571428571
2019,12,5576,24.4,12.8,73.1,1400,398.2857142857143
2020,1,939,20.8,10.3,35.4,1400,67.07142857142857
2020,2,879,13.0,10.7,60.5,1400,62.78571428571429
2020,3,1179,33.3,15.5,64.4,1400,84.21428571428572
2020,4,1274,38.7,74.0,43.8,1400,91.0
2020,5,2678,35.1,26.4,30.9,1400,191.28571428571428
2020,6,4262,33.6,28.0,40.2,1400,304.42857142857144
2020,7,5787,27.0,327.8,79.0,1400,413.3571428571429
2020,8,10734,26.0,167.5,86.2,1400,766.7142857142858
2020,9,7318,29.4,313.1,81.3,1400,522.7142857142857
2020,10,6450,29.3,504.6,64.4,1400,460.71428571428567
2020,11,2534,22.6,1.4,66.0,1400,181.0
2020,12,1733,18.2,0.0,52.8,1400,123.78571428571428
2021,1,4117,20.3,18.5,62.5,1400,294.07142857142856
2021,2,4416,19.9,0.8,58.4,1400,315.42857142857144
2021,3,5262,32.3,25.4,44.8,1400,375.85714285714283
2021,4,5539,37.4,2.9,57.6,1400,395.64285714285717
2021,5,8487,36.3,48.6,43.7,1400,606.2142857142857
2021,6,15073,35.2,58.5,49.2,1400,1076.642857142857
2021,7,27611,28.5,309.8,79.5,1400,1972.2142857142856
2021,8,40419,22.6,314.5,89.8,1400,2887.0714285714284
2021,9,36661,29.8,259.1,90.9,1400,2618.6428571428573
2021,10,35306,31.3,323.0,70.3,1400,2521.857142857143
2021,11,15529,21.0,4.6,31.0,1400,1109.2142857142858
2021,12,9649,24.4,2.6,53.9,1400,689.2142857142857
2022,1,4537,20.2,0.0,32.9,1400,324.07142857142856
2022,2,4513,13.7,0.4,46.1,1400,322.3571428571429
2022,3,6329,34.4,23.5,41.3,1400,452.0714285714286
2022,4,6250,36.0,65.9,49.5,1400,446.42857142857144
2022,5,11351,32.7,19.4,41.2,1400,810.7857142857142
2022,6,16559,38.2,23.8,40.2,1400,1182.7857142857142
2022,7,25378,25.2,84.7,80.1,1400,1812.7142857142858
2022,8,45314,24.8,344.0,79.2,1400,3236.714285714286
2022,9,42540,26.6,272.4,60.8,1400,3038.5714285714284
2022,10,31409,27.6,142.1,82.1,1400,2243.5
2022,11,18194,26.9,1.3,66.6,1400,1299.5714285714284
2022,12,9623,25.0,14.1,55.6,1400,687.3571428571428
2023,1,5173,15.2,2.4,48.5,1400,369.5
2023,2,4311,24.9,6.5,59.7,1400,307.92857142857144
2023,3,9850,40.5,10.7,57.0,1400,703.5714285714286
2023,4,7846,39.2,18.3,23.2,1400,560.4285714285714
2023,5,13033,29.5,58.9,57.4,1400,930.9285714285714
2023,6,27399,31.7,15.5,33.4,1400,1957.0714285714284
2023,7,32539,28.1,216.3,73.5,1400,2324.214285714286
2023,8,50453,24.6,156.7,65.0,1400,3603.785714285714
2023,9,70012,31.8,186.9,74.2,1400,5000.857142857143
2023,10,43291,29.1,234.0,69.2,1400,3092.2142857142853
2023,11,21916,14.8,17.0,51.5,1400,1565.4285714285716
2023,12,11408,22.9,15.6,39.6,1400,814.8571428571428
2024,1,3737,24.1,0.2,34.6,1400,266.92857142857144
2024,2,5913,23.0,11.0,44.4,1400,422.3571428571429
2024,3,6145,31.2,9.2,21.2,1400,438.92857142857144
2024,4,7837,31.8,28.9,42.5,1400,559.7857142857142
2024,5,16571,35.9,48.7,30.2,1400,1183.642857142857
2024,6,20126,33.6,21.1,26.7,1400,1437.5714285714287
2024,7,29053,28.5,481.3,80.5,1400,2075.214285714286
2024,8,39635,28.5,198.2,77.0,1400,2831.071428571429
2024,9,39171,28.0,278.1,63.8,1400,2797.9285714285716
2024,10,42327,26.2,169.6,79.9,1400,3023.357142857143
2024,11,12995,32.9,13.4,52.3,1400,928.2142857142857
2024,12,11172,20.7,7.7,66.7,1400,798.0
2025,1,91,21.5,2.6,65.0,1400,6.5
2025,2,126,21.0,6.3,50.9,1400,9.0
2025,3,126,38.4,13.6,56.4,1400,9.0
2025,4,152,37.2,36.4,50.1,1400,10.857142857142858
2025,5,214,37.1,59.3,49.2,1400,15.285714285714286
2025,6,441,34.9,9.0,25.3,1400,31.5
2025,7,441,27.6,179.0,62.9,1400,31.5
2025,8,873,28.0,155.7,76.6,1400,62.357142857142854
2025,9,951,27.7,164.8,71.8,1400,67.92857142857143
2025,10,612,29.7,213.0,65.7,1400,43.714285714285715
2025,11,368,22.3,3.8,55.2,1400,26.285714285714285
2025,12,165,23.3,15.7,76.9,1400,11.785714285714285
